scientific_name,corrected_scientific_name
Acanthis flammea flammea,Acanthis flammea
Acanthis flammea/hornemanni,Acanthis flammea
Acanthis sp.,Acanthis flammea
Acanthis/Spinus sp.,Acanthis flammea
Accipiter gentilis atricapillus/laingi,Accipiter gentilis
Accipiter sp.,Accipiter striatus
Accipiter striatus [velox Group],Accipiter striatus
Accipiter striatus ventralis,Accipiter striatus
Accipiter striatus/cooperii,Accipiter striatus
Accipitridae sp.,Accipiter striatus
Accipitriformes/Falconiformes sp.,Accipiter striatus
Actitis hypoleucos/macularius,Actitis hypoleucos
Aechmophorus occidentalis x clarkii,Aechmophorus occidentalis
Aechmophorus occidentalis/clarkii,Aechmophorus occidentalis
Agapornis sp.,Agapornis roseicollis
Agelaius phoeniceus [phoeniceus Group],Agelaius phoeniceus
Agelaius phoeniceus californicus/mailliardorum,Agelaius phoeniceus californicus
Aix sponsa x Anas platyrhynchos,Aix sponsa
Aix sponsa x Lophodytes cucullatus,Aix sponsa
Alcidae sp.,Alca torda
Amazona sp.,Amazona finschi
Ammodramus maritimus maritimus/macgillivraii,Ammodramus maritimus maritimus
Ammodramus nelsoni/caudacutus,Ammodramus nelsoni
Ammodramus sp.,Ammodramus leconteii
Anas acuta x crecca,Anas acuta
Anas americana x crecca,Anas americana
Anas americana x platyrhynchos,Anas americana
Anas crecca crecca/nimia,Anas crecca crecca
Anas crecca crecca/nimia x carolinensis,Anas crecca crecca
Anas cyanoptera x crecca,Anas cyanoptera
Anas discors x clypeata,Anas discors
Anas discors x crecca,Anas discors
Anas discors x cyanoptera,Anas discors
Anas discors/cyanoptera,Anas discors
Anas penelope x americana,Anas penelope 
Anas penelope/americana,Anas penelope
Anas platyrhynchos (Domestic type),Anas platyrhynchos 
Anas platyrhynchos platyrhynchos x diazi,Anas platyrhynchos platyrhynchos
Anas platyrhynchos platyrhynchos/conboschas,Anas platyrhynchos platyrhynchos
Anas platyrhynchos x acuta,Anas platyrhynchos 
Anas platyrhynchos x clypeata,Anas platyrhynchos
Anas platyrhynchos x fulvigula,Anas platyrhynchos
Anas platyrhynchos x wyvilliana,Anas platyrhynchos 
Anas platyrhynchos/fulvigula,Anas platyrhynchos
Anas rubripes x platyrhynchos,Anas rubripes
Anas rubripes/fulvigula,Anas rubripes
Anas rubripes/platyrhynchos,Anas rubripes
Anas sp.,Anas platyrhynchos
Anas sp. (teal sp.),Anas platyrhynchos
Anas strepera x acuta,Anas strepera
Anas strepera x americana,Anas strepera
Anas strepera x clypeata,Anas strepera
Anas strepera x crecca,Anas strepera 
Anas strepera x platyrhynchos,Anas strepera
Anatidae sp.,Anas platyrhynchos
Anatinae sp.,Anas platyrhynchos
Anous stolidus/minutus,Anous stolidus
Anser albifrons gambelli/frontalis,Anser albifrons gambelli
Anser albifrons x Branta canadensis,Anser albifrons 
Anser albifrons x Branta hutchinsii,Anser albifrons
Anser anser (Domestic type),Anser anser 
Anser anser (Domestic type) x Branta canadensis,Anser anser 
Anser anser x Branta canadensis,Anser anser 
Anser cygnoides (Domestic type),Anser cygnoides 
Anser cygnoides (Domestic type) x Branta canadensis,Anser cygnoides 
Anser sp. (Domestic type),Anser anser 
Anser sp. (Domestic type) x Branta canadensis,Anser anser 
Anser/Chen/Branta sp.,Anser anser 
Anthus rubescens rubescens/pacificus,Anthus rubescens rubescens
Anthus sp.,Anthus rubescens
Antrostomus sp.,Antrostomus vociferus
Aphelocoma californica [californica Group],Aphelocoma californica
Aphelocoma californica [woodhouseii Group],Aphelocoma californica 
Apodidae sp.,Chaetura pelagica
Apodidae sp. (small swift sp.),Chaetura pelagica
Archilochus colubris/alexandri,Archilochus colubris
Ardea herodias (Wurdemann's),Ardea herodias 
Ardea herodias [herodias Group],Ardea herodias
Ardeidae sp.,Ardea herodias
Ardenna grisea/tenuirostris,Ardenna grisea
Artemisiospiza nevadensis/belli,Artemisiospiza nevadensis
Asio otus wilsonianus/tuftsi,Asio otus wilsonianus
Asio sp.,Asio flammeus
Aves sp.,.
Aythya americana x affinis,Aythya americana 
Aythya collaris x Mergus serrator,Aythya collaris
Aythya collaris x affinis,Aythya collaris 
Aythya collaris x fuligula,Aythya collaris 
Aythya collaris x marila,Aythya collaris 
Aythya collaris x marila/affinis,Aythya collaris 
Aythya fuligula x marila/affinis,Aythya fuligula
Aythya marila/affinis,Aythya marila
Aythya sp.,Aythya collaris 
Baeolophus bicolor x atricristatus,Baeolophus bicolor
Baeolophus bicolor/atricristatus,Baeolophus bicolor
Baeolophus inornatus/ridgwayi,Baeolophus inornatus
Basileuterus rufifrons [rufifrons Group],Basileuterus rufifrons
Bombycilla garrulus/cedrorum,Bombycilla garrulus
Brachyramphus/Synthliboramphus sp.,Brachyramphus perdix
Branta bernicla nigricans/orientalis,Branta bernicla
Branta canadensis moffitti/maxima,Branta canadensis
Branta canadensis occidentalis/fulva,Branta canadensis
Branta hutchinsii/canadensis,Branta hutchinsii
Branta leucopsis x canadensis,Branta leucopsis
Branta leucopsis x hutchinsii,Branta leucopsis
Brotogeris versicolurus/chiriri,Brotogeris versicolurus
Bucephala albeola x Lophodytes cucullatus,Bucephala albeola
Bucephala albeola x clangula,Bucephala albeola
Bucephala clangula x Lophodytes cucullatus,Bucephala clangula
Bucephala clangula x islandica,Bucephala clangula
Bucephala clangula/islandica,Bucephala clangula
Bucephala clangula/islandica x Lophodytes cucullatus,Bucephala clangula
Bucephala islandica x Lophodytes cucullatus,Bucephala islandica
Buteo jamaicensis calurus/alascensis,Buteo jamaicensis calurus
Buteo lineatus [lineatus Group],Buteo lineatus
Buteo lineatus x jamaicensis,Buteo lineatus
Buteo sp.,Buteo jamaicensis
Buteo/eagle sp.,Buteo jamaicensis
Cairina moschata (Domestic type),Cairina moschata
Cairina moschata (Established Feral),Cairina moschata
Cairina moschata x Anas platyrhynchos,Cairina moschata
Calcarius/Rhynchophanes sp.,Calcarius pictus
Calidris sp.,Calidris minutilla
Callipepla californica x gambelii,Callipepla californica
Callipepla squamata x Colinus virginianus,Callipepla squamata
Callipepla squamata x californica,Callipepla squamata
Calypte anna x Selasphorus sp.,Calypte anna
Calypte anna x costae,Calypte anna
Calypte anna/costae,Calypte anna
Caprimulgidae sp.,Campylorhynchus brunneicapillus
Caprimulgus sp.,Campylorhynchus brunneicapillus
Cardinalis cardinalis/sinuatus,Cardinalis cardinalis
Carduelis sp.,Carduelis carduelis
Cathartes aura aura/septentrionalis,Cathartes aura
Cathartidae sp.,Catharus guttatus
Catharus guttatus [guttatus Group],Catharus guttatus
Catharus sp.,Catharus guttatus
Cepphus grylle [grylle Group],Cepphus grylle
Certhia americana albescens/alticola,Certhia americana
Chaetura sp.,Chaetura vauxi
Charadriidae sp.,Charadrius vociferus
Charadriiformes sp.,Charadrius vociferus
Charadrius sp.,Charadrius vociferus
Chen caerulescens x Branta canadensis,Chen caerulescens
Chen caerulescens x Branta hutchinsii,Chen caerulescens
Chen caerulescens x rossii,Chen caerulescens
Chen caerulescens/rossii,Chen caerulescens
Chen rossii x Branta hutchinsii,Chen rossii
Chordeiles sp.,Chordeiles acutipennis
Cistothorus palustris [paludicola Group],Cistothorus palustris
Colaptes auratus [cafer Group],Colaptes auratus
Colaptes auratus auratus/luteus,Colaptes auratus
Colaptes auratus luteus x cafer,Colaptes auratus
Colaptes auratus/chrysoides,Colaptes auratus
Colinus virginianus [virginianus Group],Colinus virginianus
Columba livia (Feral Pigeon),Columba livia
Columba livia (Wild type),Columba livia
Columbidae sp.,Columba livia
Contopus sp.,Contopus pertinax
Corvidae sp. (jay sp.),Corvus brachyrhynchos
Corvus brachyrhynchos/caurinus,Corvus brachyrhynchos
Corvus sp.,Corvus brachyrhynchos
Corvus sp. (crow sp.),Corvus brachyrhynchos
Corvus sp. (raven sp.),Corvus brachyrhynchos
Crotophaga ani/sulcirostris,Crotophaga ani
Cuculidae sp.,Cuculus canorus
Cyanocitta stelleri [diademata Group],Cyanocitta stelleri
Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri
Cyanocitta stelleri x cristata,Cyanocitta stelleri
Cygnus buccinator x cygnus,Cygnus buccinator
Cygnus buccinator/columbianus,Cygnus buccinator
Cygnus sp.,Cygnus olor
Cynanthus latirostris [latirostris Group],Cynanthus latirostris
Dendragapus obscurus/fuliginosus,Dendragapus obscurus
Diomedea sp.,Diomedea exulans
Egretta/Bubulcus sp.,Egretta thula
Emberizidae sp. (sparrow sp.),Emberiza
Empidonax difficilis/occidentalis,Empidonax difficilis
Empidonax hammondii/oberholseri,Empidonax hammondii
Empidonax sp.,Empidonax wrightii
Eudocimus albus x ruber,Eudocimus albus
Euphagus carolinus/cyanocephalus,Euphagus carolinus
Eupsittula/Aratinga/Thectocercus/Psittacara sp.,Euplectes orix
Falco peregrinus calidus/tundrius,Falco peregrinus
Falco sp.,Falco peregrinus
Falco sp. (large falcon sp.),Falco peregrinus
Falco sp. (small falcon sp.),Falco peregrinus
Falco sparverius [sparverius Group],Falco sparverius
Fringillidae sp.,Fringilla montifringilla
Fulica sp.,Fulica americana
Gallinago delicata/gallinago,Gallinago delicata
Gallinago sp.,Gallinago delicata
Gallinula galeata [galeata Group],Gallinula galeata
Gallus gallus (Domestic type),Gallus gallus
Gavia sp.,Gavia immer
Geothlypis trichas [arizela Group],Geothlypis trichas
Geothlypis trichas [occidentalis Group],Geothlypis trichas
Gruidae sp.,Grus canadensis
Grus canadensis x grus,Grus canadensis
Haematopus palliatus x bachmani,Haematopus palliatus
Haematopus sp.,Haematopus palliatus
Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus
Haemorhous mexicanus/purpureus,Haemorhous mexicanus
Haemorhous purpureus purpureus,Haemorhous purpureus
Haemorhous purpureus/cassinii,Haemorhous purpureus
Haemorhous sp.,Haemorhous mexicanus
Haliaeetus/Aquila sp.,Haliaeetus leucocephalus
Hirundinidae sp.,Hirundo rustica
Hydrobatidae sp.,Hydroprogne caspia
Hydroprogne/Thalasseus sp.,Hydroprogne caspia
Icteridae sp.,Icterus galbula
Icterus bullockii x galbula,Icterus bullockii
Icterus bullockii/galbula,Icterus bullockii
Icterus sp.,Icterus galbula
Junco hyemalis [oreganus Group],Junco hyemalis
Junco hyemalis hyemalis/carolinensis,Junco hyemalis hyemalis
Junco hyemalis hyemalis/carolinensis/cismontanus,Junco hyemalis hyemalis
Junco hyemalis mearnsi x caniceps,Junco hyemalis mearnsi
Junco hyemalis oreganus x caniceps,Junco hyemalis oreganus 
Junco hyemalis oreganus x mearnsi,Junco hyemalis oreganus
Junco hyemalis x Zonotrichia albicollis,Junco hyemalis hyemalis
Junco hyemalis/phaeonotus,Junco hyemalis hyemalis
Lanius excubitor borealis/invictus,Lanius excubitor
Lanius ludovicianus/excubitor,Lanius ludovicianus
Lanius sp.,Lanius ludovicianus
Larinae sp.,Larus argentatus
Larus argentatus x fuscus,Larus argentatus
Larus argentatus x glaucescens,Larus argentatus
Larus argentatus x hyperboreus,Larus argentatus
Larus argentatus x marinus,Larus argentatus
Larus argentatus x thayeri,Larus argentatus
Larus argentatus/thayeri,Larus argentatus
Larus glaucescens x hyperboreus,Larus glaucescens
Larus hyperboreus x marinus,Larus hyperboreus
Larus occidentalis x glaucescens,Larus occidentalis
Larus occidentalis/glaucescens,Larus occidentalis
Larus sp.,Larus argentatus
Larus sp. (white-winged gull sp.),Larus argentatus
Larus thayeri x glaucoides,Larus thayeri
Larus thayeri/glaucoides,Larus thayeri
Leucophaeus atricilla x Larus delawarensis,Leucophaeus atricilla
Leucophaeus atricilla/pipixcan,Leucophaeus atricilla
Leucosticte sp.,Leucophaeus atricilla
Limnodromus griseus/scolopaceus,Limnodromus griseus
Loxia curvirostra (type 1),Loxia curvirostra
Loxia curvirostra (type 10),Loxia curvirostra
Loxia curvirostra (type 2),Loxia curvirostra
Loxia curvirostra (type 3),Loxia curvirostra
Loxia curvirostra (type 4),Loxia curvirostra
Loxia curvirostra (type 5),Loxia curvirostra
Loxia curvirostra (type 6),Loxia curvirostra
Loxia sp.,Loxia curvirostra
Megascops sp.,Megascops asio
Melanerpes sp.,Melanerpes carolinus
Melanitta nigra/americana,Melanitta nigra
Melanitta perspicillata/americana,Melanitta perspicillata
Melanitta sp.,Melanitta perspicillata
Meleagris gallopavo (Domestic type),Meleagris gallopavo
Melopsittacus undulatus (Domestic type),Melopsittacus undulatus
Melospiza melodia [fallax Group],Melospiza melodia
Melospiza melodia [heermanni Group],Melospiza melodia
Melospiza melodia melodia/atlantica,Melospiza melodia
Melozone/Pipilo sp.,Melozone crissalis
Mergellus/Lophodytes/Mergus sp.,Mergus merganser
Mergus merganser/serrator,Mergus merganser
Mimidae sp.,Mimus polyglottos
Molothrus aeneus/ater,Molothrus aeneus
Myiarchus sp.,Myiarchus cinerascens
Numenius sp.,Numenius americanus
Numida meleagris (Domestic type),Numida meleagris
Nyctanassa violacea [violacea Group],Nyctanassa violacea
Nycticorax nycticorax/Nyctanassa violacea,Nycticorax nycticorax
Odontophoridae sp.,Odontophoridae
Oporornis/Geothlypis sp. (Mourning-type),Geothlypis trichas
Oxyura jamaicensis jamaicensis/andina,Oxyura jamaicensis
Paridae sp.,Poecile atricapillus
Parulidae sp.,.
Passer domesticus x montanus,Passer domesticus
Passerculus sandwichensis [guttatus Group],Passerculus sandwichensis
Passerculus sandwichensis [sandwichensis Group],Passerculus sandwichensis
Passerculus sandwichensis rostratus/atratus,Passerculus sandwichensis
Passerella iliaca [megarhyncha Group],Passerella iliaca
Passerella iliaca [schistacea Group],Passerella iliaca
Passerella iliaca [unalaschcensis Group],Passerella iliaca
Passerella iliaca iliaca/zaboria,Passerella iliaca
Passeriformes sp.,Passer domesticus
Passerina amoena/cyanea,Passerina amoena
Passerina sp.,Passerina ciris
Patagioenas fasciata [fasciata Group],Patagioenas fasciata
Pavo cristatus (Domestic type),Pavo cristatus
Perisoreus canadensis [canadensis Group],Perisoreus canadensis
Perisoreus canadensis [obscurus Group],Perisoreus canadensis
Perisoreus canadensis capitalis/albescens,Perisoreus canadensis
Petrochelidon pyrrhonota/fulva,Petrochelidon pyrrhonota
Phaethon sp.,Phaethon lepturus
Phalacrocorax auritus auritus/floridanus,Phalacrocorax auritus
Phalacrocorax brasilianus/auritus,Phalacrocorax brasilianus
Phalacrocorax sp.,Phalacrocorax auritus
Phalaropus lobatus/fulicarius,Phalaropus lobatus
Phalaropus sp.,Phalaropus fulicarius
Phasianinae sp.,Phasianus colchicus
Phasianus colchicus [colchicus Group],Phasianus colchicus
Pheucticus ludovicianus/melanocephalus,Pheucticus ludovicianus
Pheucticus sp.,Pheucticus ludovicianus
Phoebastria immutabilis x nigripes,Phoebastria immutabilis
Phoenicopterus ruber/roseus,Phoenicopterus ruber
Picidae sp.,Pica hudsonia
Picoides dorsalis/arcticus,Picoides dorsalis
Picoides nuttallii x pubescens,Picoides nuttallii
Picoides pubescens gairdnerii/turati,Picoides pubescens
Picoides pubescens pubescens/medianus,Picoides pubescens
Picoides pubescens/villosus,Picoides pubescens
Picoides scalaris x nuttallii,Picoides scalaris
Picoides sp.,Picoides pubescens
Picoides villosus [harrisi Group],Picoides villosus
Pipilo chlorurus x maculatus,Pipilo chlorurus
Pipilo erythrophthalmus erythrophthalmus/canaster,Pipilo erythrophthalmus
Pipilo maculatus [maculatus Group],Pipilo maculatus
Pipilo maculatus [oregonus Group],Pipilo maculatus
Pipilo maculatus x erythrophthalmus,Pipilo maculatus
Pipilo maculatus/erythrophthalmus,Pipilo maculatus
Piranga sp.,Piranga rubra
Plectrophenax nivalis/hyperboreus,Plectrophenax nivalis
Plegadis falcinellus x chihi,Plegadis falcinellus
Plegadis falcinellus/chihi,Plegadis falcinellus
Pluvialis apricaria/dominica/fulva,Pluvialis apricaria
Pluvialis dominica/fulva,Pluvialis dominica
Pluvialis sp.,Pluvialis squatarola
Podiceps auritus/nigricollis,Podiceps auritus
Podicipedidae sp.,Podiceps auritus
Poecile atricapillus x gambeli,Poecile atricapillus
Poecile carolinensis/atricapillus,Poecile carolinensis
Poecile gambeli [gambeli Group],Poecile gambeli
Poecile sp.,Poecile atricapillus
Polioptila caerulea [obscura Group],Polioptila caerulea
Polioptila sp.,Polioptila caerulea
Procellariidae sp.,Procellariidae
Procellariidae sp. (shearwater sp.),Procellariidae
Psaltriparus minimus [melanotis Group],Psaltriparus minimus
Psaltriparus minimus [minimus Group],Psaltriparus minimus
Psaltriparus minimus [plumbeus Group],Psaltriparus minimus
Psittacara mitratus/erythrogenys,Psittacara mitratus
Psittacara sp.,Psittacara mitratus
Psittaciformes sp. (parakeet sp.),Psittacara mitratus
Psittaciformes sp. (parrot sp.),Psittacara mitratus
Pternistis/Francolinus/Peliperdix/Scleroptila sp.,Pternistis erckelii
Ptychoramphus/Aethia sp.,Ptychoramphus aleuticus
Puffinus sp. (black-and-white shearwater sp.),Puffinus opisthomelas
Quiscalus major torreyi/alabamensis,Quiscalus major
Quiscalus major/mexicanus,Quiscalus major
Quiscalus mexicanus [graysoni Group],Quiscalus mexicanus
Quiscalus quiscula quiscula/stonei,Quiscalus quiscula
Quiscalus sp.,Quiscalus quiscula
Rallidae sp. (rail/crake sp.),Rallus limicola
Rallus crepitans crepitans/waynei,Rallus crepitans
Rallus crepitans saturatus/scottii,Rallus crepitans
Rallus elegans/crepitans,Rallus elegans
Rallus limicola limicola/friedmanni,Rallus limicola
Rallus obsoletus/longirostris/crepitans,Rallus obsoletus
Rallus sp.,Rallus limicola
Rallus sp. (large Rallus sp.),Rallus limicola
Regulus sp.,Regulus satrapa
Sayornis nigricans [nigricans Group],Sayornis nigricans
Sayornis sp.,Sayornis phoebe
Scolopacidae sp.,Scolopax minor
Scolopacidae sp. (large shorebird sp.),Scolopax minor
Selasphorus rufus/sasin,Selasphorus rufus
Setophaga americana x pitiayumi,Setophaga americana
Setophaga castanea/striata,Setophaga castanea
Setophaga coronata coronata x auduboni,Setophaga coronata coronata
Setophaga petechia [aestiva Group],Setophaga petechia
Setophaga petechia [erithachorides Group],Setophaga petechia
Setophaga townsendi x occidentalis,Setophaga townsendi
Sialia sialis [sialis Group],Sialia sialis
Sialia sp.,Sialia sialis
Sitta carolinensis [mexicana Group],Sitta carolinensis
Sitta carolinensis aculeata/alexandrae,Sitta carolinensis
Sitta sp.,Sitta carolinensis
Somateria sp.,Somateria mollissima
Sphyrapicus nuchalis x ruber,Sphyrapicus nuchalis
Sphyrapicus sp.,Sphyrapicus varius
Sphyrapicus varius x nuchalis,Sphyrapicus varius
Sphyrapicus varius x ruber,Sphyrapicus varius
Sphyrapicus varius/nuchalis,Sphyrapicus varius
Spinus pinus (green morph),Spinus pinus
Spinus sp. (goldfinch sp.),Spinus tristis
Spizella sp.,Spizella pusilla
Stercorarius pomarinus/parasiticus,Stercorarius pomarinus
Stercorarius sp. (jaeger sp.),Spizelloides arborea
Sterna sp.,Sterna forsteri
Sterninae sp.,Sterna forsteri
Streptopelia decaocto x Zenaida macroura,Streptopelia decaocto
Streptopelia decaocto x roseogrisea,Streptopelia decaocto
Streptopelia roseogrisea (Domestic type),Streptopelia roseogrisea
Streptopelia sp.,Streptopelia decaocto
Strigiformes sp.,Streptopelia decaocto
Strix varia [varia Group],Strix varia
Sturnella magna [lilianae Group],Sturnella magna
Sturnella magna [magna Group],Sturnella magna
Sturnella neglecta/magna,Sturnella neglecta
Sula sp.,Sula leucogaster
Sulidae sp.,Sula leucogaster
Synthliboramphus scrippsi/hypoleucus,Synthliboramphus scrippsi
Tachycineta bicolor/thalassina,Tachycineta bicolor
Tetraoninae sp.,Tetraoninae
Thectocercus acuticaudatus [acuticaudatus Group],Thectocercus acuticaudatus
Thraupidae sp. (tanager sp.),Thraupidae
Threskiornithidae sp. (ibis sp.),Threskiornis aethiopicus
Thryomanes bewickii [spilurus Group],Thryomanes bewickii
Toxostoma sp.,Toxostoma rufum
Tringa brevipes/incana,Tringa brevipes
Tringa melanoleuca/flavipes,Tringa melanoleuca
Tringa sp.,Tringa melanoleuca
Trochilidae sp.,Archilochus colubris
Troglodytes aedon [aedon Group],Troglodytes aedon
Troglodytes aedon [brunneicollis Group],Troglodytes aedon
Troglodytes pacificus/hiemalis,Troglodytes pacificus
Troglodytidae sp.,Troglodytes aedon
Turdidae sp.,Turdus migratorius
Turdus migratorius [migratorius Group],Turdus migratorius
Turdus migratorius/Ixoreus naevius,Turdus migratorius
Turdus naumanni/eunomus,Turdus naumanni
Tyrannidae sp.,Tyrannus couchii
Tyrannus melancholicus/couchii,Tyrannus melancholicus
Tyrannus sp. (yellow-bellied),Tyrannus couchii
Tyto alba [furcata Group],Tyto alba
Uria aalge/lomvia,Uria aalge
Uria/Alca sp.,Uria aalge
Vireo cassinii/solitarius,Vireo cassinii
Vireo griseus [griseus Group],Vireo griseus
Vireo huttoni [huttoni Group],Vireo huttoni
Vireo huttoni [stephensi Group],Vireo huttoni [stephensi Group]
Vireo plumbeus/cassinii,Vireo plumbeus
Vireo plumbeus/cassinii/solitarius,Vireo plumbeus
Vireo sp.,Vireo solitarius
Zonotrichia atricapilla x albicollis,Zonotrichia atricapilla
Zonotrichia leucophrys leucophrys/oriantha,Zonotrichia leucophrys
Zonotrichia leucophrys nuttalli/pugetensis,Zonotrichia leucophrys
Zonotrichia leucophrys x albicollis,Zonotrichia leucophrys
Zonotrichia leucophrys x atricapilla,Zonotrichia leucophrys
Zonotrichia sp.,Zonotrichia albicollis
